tag	character	n_tips	n_present	lnL_full	lnL_null	lambda0	lambda1	mu0	mu1	q01	q10	chisq	p	status
f1.0_r000	driver	150	89	-224.674943000034	-225.450844637221	0.67428233046606	0.840671592293798	1.27305473741325e-06	3.99400368181944e-06	2.55332008020564e-07	0.112522773459214	1.55180327437586	0.460288580545611	ok
f1.0_r000	control	150	88	-233.797303419257	-233.831170290653	0.752900453369562	0.790797912030132	8.58803608982649e-09	2.22274012627348e-07	0.00254994274744977	0.132991413903622	0.0677337427908355	0.96670019151891	ok
f1.0_r001	driver	150	15	-173.84508094866	-174.264347231563	1.24242654144623	1.11322614547945	0.587383169091204	0.711944829769822	3.59815181024846e-11	0.191090220470668	0.838532565805679	0.657529083201201	ok
f1.0_r001	control	150	33	-173.253765775064	-176.684226584778	0.985090413391951	2.3308793326241	0.20944823401079	2.13425759416104	1.15864220070354e-07	0.0454399906120949	6.86092161942753	0.0323720199940837	ok
f1.0_r002	driver	150	71	-220.696496291202	-221.578398099113	1.13243549732889	0.788085561416731	0.610163779153128	1.07512866100115e-06	6.4959668432711e-09	0.187867005436338	1.76380361582198	0.413994823892132	ok
f1.0_r002	control	150	103	-249.328770014427	-251.043722214051	0.911411601752577	1.00295765835198	0.822304763579068	0.248105503334048	1.35222013851979e-08	0.222652667807671	3.42990439924688	0.17997232325233	ok
f1.0_r003	driver	150	68	-180.231923871722	-182.547527230496	0.832233312696287	1.46807763801718	0.0436945194418459	0.641881199454658	8.5045775584156e-10	0.105119036342409	4.63120671754621	0.098706610532423	ok
f1.0_r003	control	150	48	-189.60673634814	-192.363078974895	1.16510246096326	0.906179013625798	1.50536714466052e-09	0.288820250720241	1.96775565412949e-09	0.14928805401247	5.5126852535094	0.0635236738037658	ok
f1.0_r004	driver	150	11	-210.873910998788	-212.602349686901	0.990110478480838	1.70470403972326	0.531343786380701	1.68385792669084	6.45733094351224e-10	0.0558441894769254	3.45687737622671	0.177561422421624	ok
f1.0_r004	control	150	11	-206.185537958016	-208.197462992519	0.99199528392836	1.89622606888828	0.549688986286427	1.92878179171818	1.00455323505123e-10	0.038892280282547	4.02385006900738	0.133730989952525	ok
f1.0_r005	driver	150	47	-225.983581244492	-226.275717033589	0.933223027636934	0.769018610712366	0.359184018073348	1.31276752944777e-06	3.13375391716406e-09	0.225262075353207	0.584271578193807	0.746667139832662	ok
f1.0_r005	control	150	80	-235.557072885848	-235.657870126091	0.912632897648742	0.84778323638926	0.357254849023849	0.160677696188615	2.7793700449754e-09	0.156487763567534	0.201594480486335	0.904116332710091	ok
f1.0_r006	driver	150	86	-214.327782898625	-215.437364392239	0.976947162098944	0.888009934214801	1.24638303166196e-07	0.251036286336236	0.00343842346150286	0.0810356238195589	2.21916298722977	0.329696912469428	ok
f1.0_r006	control	150	58	-195.069552884831	-196.537112767437	0.907837081168176	0.974180007355026	2.5804592233608e-06	0.449106246979407	4.76632754000203e-08	0.0600656885701559	2.9351197652129	0.230487215427494	ok
f1.0_r007	driver	150	13	-180.91063727973	-182.237782713252	0.925291482410401	0.646496801897451	1.48915044635137e-06	0.0708709553566301	4.27348620514481e-12	0.191371316681479	2.65429086704432	0.265233307803193	ok
f1.0_r007	control	150	72	-211.956808919475	-212.125744255858	0.829186742220493	0.914701043121879	2.94598823807486e-08	1.19100409178153e-07	2.54905421939006e-09	0.164119094492934	0.337870672766428	0.844563514151781	ok
f1.0_r008	driver	150	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	skipped_invariant
f1.0_r008	control	150	80	-210.03193390935	-210.641046565559	0.778616801717576	0.992769062036585	3.97673257809898e-06	0.117886224455691	4.07369746440114e-08	0.129014474873552	1.21822531241764	0.543833222069422	ok
f1.0_r009	driver	150	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	skipped_invariant
f1.0_r009	control	150	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	skipped_invariant
f1.0_r010	driver	150	81	-228.467568697775	-228.664289934901	1.13024185365248	1.00512610354968	0.524278284526613	0.489050322472507	2.38085742903888e-07	0.102903691319708	0.39344247425197	0.821419582683524	ok
f1.0_r010	control	150	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	skipped_invariant
f1.0_r011	driver	150	42	-201.855477252365	-207.279634245855	1.1990153342028	0.553118967499394	0.463643623417076	1.97872988961241e-05	1.84692513826594e-07	0.0919810036215761	10.8483139869797	0.00440878122695251	ok
f1.0_r011	control	150	77	-219.655836307645	-222.206119558964	0.652123492425018	1.26174986771493	0.00712671258350138	0.670323201389998	5.51921522445942e-09	0.0893570486390555	5.10056650263738	0.0780595523982943	ok
f1.0_r012	driver	150	65	-216.028320682503	-217.804809326816	0.781153614636987	1.230852231261	0.279105041901562	0.628219287535898	5.30058947850173e-09	0.0967931939245491	3.55297728862513	0.169231336626055	ok
