tag	character	n_tips	n_present	lnL_full	lnL_null	lambda0	lambda1	mu0	mu1	q01	q10	chisq	p	status
n500_f3.0_r000	driver	500	454	-74.0895981793095	-86.6161295177032	1.08525869841873	2.99948192154525	3.87328053334511e-05	0.092237368371515	1.05295007697968e-06	0.15387864614502	25.0530626767874	3.62908017035716e-06	ok
n500_f3.0_r000	control	500	443	-75.4365140241016	-75.9097602323168	2.94810076966123	2.78943224531791	1.04333304735089	5.27102246704408e-05	8.16770485320287e-07	0.138766563519581	0.946492416430374	0.622976670320055	ok
n500_f3.0_r001	driver	500	478	-65.980409845723	-75.162459355964	0.584707030794718	2.86799497507116	0.945588359883439	0.0137932728221549	4.23868729073229e-07	0.142297535704504	18.364099020482	0.000102869484888029	ok
n500_f3.0_r001	control	500	308	-59.8811285460325	-60.3210507291359	2.84644148467573	2.93399955521287	2.11766134516149e-07	0.424898244563598	2.89658430361889e-07	0.127113945291324	0.879844366206783	0.644086539948755	ok
n500_f3.0_r002	driver	500	466	-84.6837595568128	-98.0893315939489	0.775924505750896	2.9991473586602	8.63232345930078e-05	0.353861124835427	2.7153293509179e-08	0.120631139123532	26.8111440742722	1.50672515005089e-06	ok
n500_f3.0_r002	control	500	340	-87.6294980608968	-88.0670031609191	3.18908573437358	2.71745623987008	0.746996305073456	0.237791583295265	1.89015219227224e-10	0.136937748047355	0.875010200044699	0.645645233614374	ok
n500_f3.0_r003	driver	500	476	-76.9874186722618	-82.5114648819752	1.12672511876753	2.89278680385089	0.961583699746143	0.213358047344463	0.371721751486629	0.140036514351045	11.0480924194267	0.00398967218855135	ok
n500_f3.0_r003	control	500	433	-61.4354346121141	-61.5228445432608	2.6909017206385	2.85206458924477	9.08268631562059e-06	0.30454847250724	5.08471739147944e-07	0.0758072317304987	0.174819862293361	0.916301398150514	ok
n500_f3.0_r004	driver	500	467	-102.945345957493	-116.426144731238	0.651235354700769	3.12660972363054	1.19133091106979e-05	0.807170714501988	4.72219422331279e-07	0.110928556770997	26.9615975474898	1.39753753479981e-06	ok
n500_f3.0_r004	control	500	434	-110.431964112188	-111.626269740675	2.26963545100138	3.12691650816496	1.9709740433062e-09	1.01815811366963	2.11405004321733e-08	0.0855660608650326	2.38861125697352	0.302914216176394	ok
n500_f3.0_r005	driver	500	471	-52.8118056768155	-57.8630719103026	1.43012239698291	2.96407318296296	1.14338342536926	4.21365159059863e-07	2.29776721014109e-08	0.157267533313865	10.1025324669742	0.00640122286964242	ok
n500_f3.0_r005	control	500	332	-60.3616734811246	-60.3838615010183	2.91202876434808	2.86730301892408	1.8961584521661e-07	0.0272832671351354	1.26585164623433e-08	0.164568631975009	0.044376039787366	0.978056323716256	ok
n500_f3.0_r006	driver	500	482	-25.7775758690439	-33.1357242348278	0.586408734583219	3.00879974349068	0.272454675445878	1.6779186742014e-07	0.123726694379365	0.102364868580648	14.7162967315679	0.000637377557666721	ok
n500_f3.0_r006	control	500	401	-51.893573516959	-52.0495348849554	2.7624301878559	2.95938527567669	8.74854302442299e-06	2.54401107007964e-07	5.95792439752707e-06	0.142090882905319	0.311922735992738	0.855592242975208	ok
n500_f3.0_r007	driver	500	468	-58.0937869203725	-69.0650246119361	0.966071792499882	3.36976599473595	3.78965205521713e-07	0.927852750834777	1.1414053523996e-10	0.0917941552844209	21.9424753831273	1.71890553839862e-05	ok
n500_f3.0_r007	control	500	300	-81.3747463030754	-83.807097402204	3.784907150044	2.73548085152286	1.24228655069396	0.344981524915227	6.89256169797421e-09	0.206394980890238	4.8647021982573	0.0878300923905738	ok
n500_f3.0_r008	driver	500	469	-60.0019628498869	-70.6104988554455	0.791083386299812	3.10831988125745	4.93624715970853e-08	0.324921703744059	2.84348191468027e-09	0.127253374015771	21.2170720111172	2.47042316891148e-05	ok
n500_f3.0_r008	control	500	438	-56.0586642645466	-56.6800944357756	3.8029911501014	2.80378196464815	1.64944383553727	4.59673555819264e-08	1.62181642932805e-08	0.128693565998548	1.24286034245792	0.537175634828089	ok
n500_f3.0_r009	driver	500	463	-55.856073331764	-62.9602857496106	1.49479013214799	3.58932504244588	0.66091449034844	1.1718974594798	3.879849027078e-08	0.119711259115698	14.2084248356934	0.000821636546815893	ok
n500_f3.0_r009	control	500	372	-50.4693143224487	-50.8366243081509	3.48428080045097	3.3616246348814	0.805650889220478	1.11445318552968	1.52217335918481e-08	0.108644181374833	0.734619971404314	0.692594917243105	ok
n500_f3.0_r010	driver	500	469	-120.229520242979	-127.072637682936	0.991831008984974	2.96922097383556	6.17385692996505e-06	0.588513453697608	0.975107505991945	0.150117699372489	13.6862348799141	0.00106677261100769	ok
n500_f3.0_r010	control	500	450	-100.870184804981	-101.663195433348	2.35825687292238	2.85841229162759	0.608726083955651	0.499858147734485	1.86951136513328e-09	0.0932078427500822	1.58602125673301	0.452480492003256	ok
n500_f3.0_r011	driver	500	442	-147.687569923852	-156.87429197915	1.31555614275295	2.83236485460681	0.201523176525661	0.454449676157667	4.59042214600712e-10	0.141695331522026	18.373444110595	0.000102389943796104	ok
n500_f3.0_r011	control	500	387	-134.115433646742	-135.037859786025	2.38801516508075	2.75821632845955	0.485683246348895	0.482936526058044	0.0250050112515162	0.103235570800291	1.84485227856601	0.397553350307762	ok
n500_f3.0_r012	driver	500	470	-147.639304048006	-155.63624873575	0.402348810212325	2.83534471628094	2.55648982255427e-07	0.459518457071097	1.72025756280955	0.228352676305201	15.9938893754876	0.000336489138337455	ok
n500_f3.0_r012	control	500	313	-136.463702995545	-139.133402005287	2.88717717857263	2.52504946953907	2.03255243701309e-08	0.442722837159134	1.80249640066583e-10	0.148863529852568	5.33939801948344	0.0692730726918004	ok
n500_f3.0_r013	driver	500	462	-24.2623125528892	-33.6574861676726	1.33130716336207	3.71527214351365	5.99049114203644e-06	1.11267942210159	6.94470401028446e-07	0.0986675334382561	18.7903472295667	8.31242888025768e-05	ok
n500_f3.0_r013	control	500	252	-12.8837441263496	-13.7852810380451	3.77183857759791	3.11862344540949	1.53263190391494	0.227559009375009	0.00176310468424558	0.19667410725114	1.8030738233909	0.405945278008227	ok
