arm	rep	pair	P	note
feedback	1	A	1.93570190597008e-06	
feedback	1	ctrl	0.218868355894773	
trait2gen	1	A	0.089670285177736	
trait2gen	1	ctrl	0.957312344923301	
gen2trait	1	A	0.000631886067241549	
gen2trait	1	ctrl	0.114299073241791	
null	1	A	0.711754895284261	
null	1	ctrl	0.5835828775937	
feedback	2	A	6.13611551900978e-09	
feedback	2	ctrl	NA	invariant
trait2gen	2	A	0.0396341226222218	
trait2gen	2	ctrl	NA	invariant
gen2trait	2	A	8.38120589477589e-06	
gen2trait	2	ctrl	NA	invariant
null	2	A	0.471276352113619	
null	2	ctrl	NA	invariant
feedback	3	A	0.000350532865385584	
feedback	3	ctrl	0.337360123083931	
trait2gen	3	A	0.349540415246226	
trait2gen	3	ctrl	0.742913201374507	
gen2trait	3	A	0.000318310599040584	
gen2trait	3	ctrl	0.291977236216133	
null	3	A	0.61521244233129	
null	3	ctrl	0.0570270862565234	
feedback	4	A	2.10315795551945e-07	
feedback	4	ctrl	NA	invariant
trait2gen	4	A	0.176339736060033	
trait2gen	4	ctrl	NA	invariant
gen2trait	4	A	NA	invariant
gen2trait	4	ctrl	NA	invariant
null	4	A	NA	invariant
null	4	ctrl	NA	invariant
feedback	5	A	NA	invariant
feedback	5	ctrl	0.351101136535075	
trait2gen	5	A	NA	invariant
trait2gen	5	ctrl	0.688824722701647	
gen2trait	5	A	NA	invariant
gen2trait	5	ctrl	0.529226317954094	
null	5	A	NA	invariant
null	5	ctrl	0.112547255549182	
feedback	6	A	1.90119358980851e-06	
feedback	6	ctrl	0.638315811149555	
trait2gen	6	A	0.000120035638850552	
trait2gen	6	ctrl	0.152896350622517	
gen2trait	6	A	0.000431648354608361	
gen2trait	6	ctrl	0.548033659830749	
null	6	A	0.554430808121799	
null	6	ctrl	0.334736988920448	
feedback	7	A	4.65751773645168e-05	
feedback	7	ctrl	NA	invariant
trait2gen	7	A	NA	invariant
trait2gen	7	ctrl	NA	invariant
gen2trait	7	A	0.172541924061359	
gen2trait	7	ctrl	NA	invariant
null	7	A	0.14363077366719	
null	7	ctrl	NA	invariant
feedback	8	A	5.11886074201018e-05	
feedback	8	ctrl	0.223522230529516	
trait2gen	8	A	0.219658645894782	
trait2gen	8	ctrl	0.660305092432631	
gen2trait	8	A	9.65381182787412e-07	
gen2trait	8	ctrl	0.0216777799986	
null	8	A	0.510129328055271	
null	8	ctrl	0.441815866848021	
feedback	9	A	NA	invariant
feedback	9	ctrl	0.67445134839891	
trait2gen	9	A	NA	invariant
trait2gen	9	ctrl	0.476354027591194	
gen2trait	9	A	NA	invariant
gen2trait	9	ctrl	0.40655115353447	
null	9	A	NA	invariant
null	9	ctrl	0.28904340218784	
feedback	10	A	0.000472140470685321	
feedback	10	ctrl	NA	invariant
trait2gen	10	A	0.685042625969322	
trait2gen	10	ctrl	NA	invariant
gen2trait	10	A	0.00273270903006563	
gen2trait	10	ctrl	NA	invariant
null	10	A	0.314935033390417	
null	10	ctrl	NA	invariant
feedback	11	A	NA	invariant
feedback	11	ctrl	0.615194773076699	
trait2gen	11	A	NA	invariant
trait2gen	11	ctrl	0.470065807407108	
gen2trait	11	A	NA	invariant
gen2trait	11	ctrl	0.869135089453414	
null	11	A	NA	invariant
null	11	ctrl	0.195223393173224	
feedback	12	A	0.0139346057717183	
feedback	12	ctrl	0.861227276248624	
trait2gen	12	A	0.891402784458107	
trait2gen	12	ctrl	0.573159052890607	
gen2trait	12	A	0.000298809988368499	
gen2trait	12	ctrl	0.542966275421535	
null	12	A	0.743129630026817	
null	12	ctrl	0.107877315738067	
feedback	13	A	NA	invariant
feedback	13	ctrl	0.871582592160623	
trait2gen	13	A	NA	invariant
trait2gen	13	ctrl	0.997044592892711	
gen2trait	13	A	0.00101048703296756	
gen2trait	13	ctrl	0.176549632034522	
null	13	A	0.148772032128504	
null	13	ctrl	0.297908930409878	
feedback	14	A	NA	invariant
